cell_id,cluster,leiden
260,proliferating epithelial,2
261,stromal 1,2
262,fibroblasts,11
263,GATA3+ epithelial,8
264,GATA3+ epithelial,22
265,proliferating epithelial,0
266,t cells,16
267,t cells,1
268,luminal epithelial 2,13
269,luminal epithelial 2,4
270,proliferating epithelial,8
271,luminal epithelial 2,1
272,GATA3+ epithelial,0
273,luminal epithelial 3,4
274,luminal epithelial 3,16
275,luminal epithelial 2,13
276,t cells,13
277,luminal epithelial 2,22
278,proliferating epithelial,22
279,luminal epithelial 2,13
280,luminal epithelial 2,5
281,luminal epithelial 2,1
282,proliferating epithelial,13
283,luminal epithelial 2,13
284,fibroblasts,7
285,luminal epithelial 2,0
286,luminal epithelial 3,22
287,luminal epithelial 2,9
288,basal epithelial 1,1
289,epithelial,1
290,epithelial,22
291,proliferating epithelial,1
292,GATA3+ epithelial,0
293,GATA3+ epithelial,0
294,t cells,8
295,hypoxic cells,1
296,luminal epithelial 3,7
297,basal epithelial 1,4
298,stromal 2,9
299,luminal epithelial 3,8
300,luminal epithelial 3,4
301,luminal epithelial 2,22
302,stromal 1,22
303,immune,1
304,luminal epithelial 1,8
305,luminal epithelial 3,14
306,stromal 2,22
307,stromal 1,1
308,proliferating epithelial,0
309,stromal 3,13
310,luminal epithelial 3,13
311,luminal epithelial 3,1
312,epithelial,22
313,luminal epithelial 2,11
314,t cells,1
315,GATA3+ epithelial,16
316,proliferating epithelial,11
317,luminal epithelial 3,22
318,luminal epithelial 3,1
319,GATA3+ epithelial,1
320,proliferating epithelial,13
321,proliferating epithelial,0
322,proliferating epithelial,7
323,luminal epithelial 2,0
324,GATA3+ epithelial,13
325,stromal 1,22
326,epithelial,1
327,proliferating epithelial,13
328,t cells,1
329,luminal epithelial 2,0
330,GATA3+ epithelial,14
331,luminal epithelial 3,22
332,luminal epithelial 2,13
333,t cells,13
334,proliferating epithelial,19
335,proliferating epithelial,13
336,luminal epithelial 2,16
337,luminal epithelial 1,8
338,GATA3+ epithelial,0
339,GATA3+ epithelial,1
340,GATA3+ epithelial,3
341,GATA3+ epithelial,14
342,luminal epithelial 2,8
343,stromal 1,0
344,stromal 1,6
345,GATA3+ epithelial,3
346,proliferating epithelial,22
347,stromal 1,4
348,stromal 1,0
349,proliferating epithelial,13
350,luminal epithelial 3,13
351,proliferating epithelial,16
352,epithelial,2
353,proliferating epithelial,13
354,stromal 3,2
355,GATA3+ epithelial,0
356,GATA3+ epithelial,0
357,stromal 1,1
358,luminal epithelial 3,14
359,stromal 1,18
360,t cells,3
361,epithelial,25
362,proliferating epithelial,0
363,luminal epithelial 1,16
364,luminal epithelial 2,11
365,luminal epithelial 2,13
366,luminal epithelial 3,22
367,GATA3+ epithelial,22
368,immune,13
369,GATA3+ epithelial,7
370,hypoxic cells,1
371,GATA3+ epithelial,22
372,GATA3+ epithelial,1
373,immune,0
374,GATA3+ epithelial,13
375,GATA3+ epithelial,13
376,luminal epithelial 3,2
377,luminal epithelial 3,0
378,luminal epithelial 1,22
379,luminal epithelial 2,4
380,stromal 1,8
381,luminal epithelial 1,22
382,GATA3+ epithelial,0
383,GATA3+ epithelial,2
384,proliferating epithelial,2
385,luminal epithelial 3,11
386,GATA3+ epithelial,0
387,stromal 2,3
388,luminal epithelial 3,13
389,stromal 1,0
390,immune,1
391,immune,0
392,t cells,7
393,proliferating epithelial,22
394,luminal epithelial 2,13
395,luminal epithelial 2,19
396,GATA3+ epithelial,18
